  ,REVIEW SENTID,REVIEW SENT,REVIEW AUID,RESPONSE SENTID,RESPONSE SENT,RESPONSE AUID
3250583,50000395,Went for a drink in the Pins Bar to get over our long trip and providing there is no one in the bar you can get table service.,80000345,80000345,Our local bar atmosphere is an integral part of our successful formula and it is something we shout about proudly on our website.,
3250583,50000396,"Thankfully and the one thing that saved our break was the West restaurant where the food is without reservation some of the best I have ever tasted, and the wine selection amazing, would go back for the food but would probably stay elsewhere it was €199 per night that did include breakfast and our meal in The West (no wine).",80000347; 80000348; 80000349,80000346,It is this beautiful buzz which helps make The Twelve what it is.,
3250583,50000397,I had read that they had jazz in The Pins but sadly not anymore.,80000350; 80000351; 80000352; 80000353; 80000354,80000347,"Along with our staff and perfect location, the other wonderful elements are our devotion to great food and wine.",
3250583,50000398,On second day we went for a drive to explore had a lovely day but when we came back football was on and no seats in The Pins and no residents bar.,,80000348,I am delighted to see you had a terrific experience in West.,
3250583,50000399,I cannot honestly say it was a complete washout,,80000349,We have been greatly honoured with numerous accolades for West's cuisine as well as our wine list which has won pretty much every wine award there is to win.,
3250583,50000400,"but it was also not what they bill it as on their site, so by all means go, worth it for food alone but don't bother with the overpriced suites, we spent no time in the extra space as there was nothing in it.",80000342;,80000350,We do feature free live entertainment every weekend.,
3250583,50000401,I presume that the reason we had no bath in the room was because we had the bar not worth it.,80000356; 80000343,80000351,"On Fridays, it is always Traditional Irish music sessions - really good sessions.",
3250583,,,,80000352,"Saturdays, however lend thmselves to more variety.",
3250583,,,,80000353,"Sometimes it is Jazz, other times it is Blues.",
3250583,,,,80000354,We always try to mix it up and the reason for this is based upon feedback from our guests.,
3250583,,,,80000355,Our Facebook page always has the most up to the minute infomation.,
3250583,,,,80000356,There are two end suites in the hotel which were designed for guests who want walk in showers rather than a bath.,
3250583,,,,80000357,"When you book directly on The Twelve's official website, you are given the luxury of choice.",
3250583,,,,80000358,"Unfortunately, this is not possible on third party sites.",
3250583,,,,80000359,"Labella, I really wish you had given us the opportunity to make some sort of service recovery whilst you were staying with us.",
3250583,,,,80000360,Our goal is to ensure every guest has a wonderful time at The Twelve.,
3250583,,,,80000361,"Sincerely, Fergus",
,,,,,,
3316416,50000410,Funky hostel/hotel in a beautiful setting ---SEP---,,80000370,"""I am not sure if you were aware of our sign on the front desk that indicates how to get a hold of us.",
3316416,50000411,We had a room with 2 twin beds.,,80000371,"We cannot be at the front desk all the time, but we are always happy to give information about the area.",
3316416,50000412,There was a sink in the room with the beds and a bathroom.,,80000372,"Thanks for the time to write a review.""",
3316416,50000413,Showers were in the hallway.,,,,
3316416,50000414,They provided bathrobes and the showers were very clean.,,,,
3316416,50000415,We had to ask for extra pillows as the pillows were not very fluffy.,,,,
3316416,50000416,The girl gave us the last 2 pillows.,,,,
3316416,50000417,The breakfast was very basic and you had to wash your own dishes--hostel style.,,,,
3316416,50000418,The man who checked us in was not friendly and seemed distressed when I asked him for 2 keys.,,,,
3316416,50000419,No one was ever at the front desk so I never was able to get advice about the local activities and amenities.,80000370; 80000371,,,
3316416,50000420,"The common area was very nice with couches, tables in a colorful, sunny room.",,,,
3316416,50000421,The Cube is an easy walk from everything in Revelstoke.,,,,
,,,,,,
3299332,50000430,Moving Daughter ---SEP--- Great Motel clean and very comfortable spacious rooms Hotel was also great very friendly and helpful staff Would highly recommend this Motel.,,80000380,"Thank so much for a lovely review, we appreciate the kind words greatly.",
3299332,50000431,Good location easy to get to rooms are nice and quiet.,,80000381,Enjoy your travels and we hope to see you again soon.,
3299332,50000432,Breakfast available to rooms.,,80000382,"Kind regards, Sandy L.",
,,,,,,
3190936,50000440,Disappointing.,80000390,80000390,"Dear Reviewer, Thank you for taking the time to leave your review, I am sorry that we did not exceed your expectations during your recent visit.",
3190936,50000441,Would not stay again ---SEP---,80000390,80000391,"To enable us to be the best at what we do, we take customer feedback and points very seriously however we would like to inform you that the old part of this Hotel a Victorian building is due to have refurbishments in the future and had you voiced your disatifaction on arrival with the room you booked we would have endeavoured subject to availability, to upgrade you to our recently refurbished rooms.",
3190936,50000442,This hotel obviously has some lovely refurbished rooms.,,80000392,Very many thanks General Mangement Response Team,
3190936,50000443,Mine was not one of them.,,,,
3190936,50000444,"A tired, dated room with a squeaky bed that was medium-comfortable.",,,,
3190936,50000445,"The walls were full of holes from old fittings, the furniture had seen better days and the bathroom was also in need of a refurbish.",80000391,,,
3190936,50000446,Stupid wee things - the toilet roll holder hung off the wall and it fell on the floor all the time.,,,,
3190936,50000447,None of these things matter when you're asleep so a good night's sleep would have made me less critical.,,,,
3190936,50000448,My room was at the back of the hotel and quiet on the first night (bank holiday).,,,,
3190936,50000449,On the second n get there was someone in the room above me and next to me.,,,,
3190936,50000450,You could hear every footstep and the floorboards sounded like they were ready to collapse.,V80000391,,,
3190936,50000451,Every person going upstairs sounded like they were stomping in my room.,V80000391,,,
3190936,50000452,Being near reception there were voices every time someone came in.,,,,
3190936,50000453,The heating/cooling unit made a buzzing noise for a few seconds every ten mins waking up a light sleeper.,,,,
3190936,50000454,The glass and bottle brought from the 'bar' (small fridge at reception),,,,
3190936,50000455,was not cleared out of my room after the first day.,,,,
3190936,50000456,Staff were pleasant and I was asked on departure if they could do anything to help after I complained about noise.,,,,
3190936,50000457,Short of new floorboards nothing could help after the event.,80000391,,,
3190936,50000458,Breakfast ok. Staff not identified with either uniforms or badges.,,,,
3190936,50000459,Won't be back.,,,,
3190936,50000460,From the reviews there are obviously some nice rooms - perhaps on top floor wth,,,,
3190936,50000461,nobody above.,,,,
3190936,50000462,My stay was very disappointing.,,,,
,,,,,,
3275888,50000470,"Friendly, modern and central ---SEP---",,80000400,Hey moonmobile What can i say??,
3275888,50000471,I really enjoyed staying at this hotel.,,80000401,The perfect review!,
3275888,50000472,Great central location.,,80000402,Makes a rainy day in Glasgow a bit more cheerful.,
3275888,50000473,Really nice cheery modern decor.,,80000403,Thank you for posting.,
3275888,50000474,Lovely modern comfortable room.,,80000404,My best Rory,
3275888,50000475,I also liked the relaxed bar/dining room/reception area.,,,,
3275888,50000476,"Really helpful and hospitable staff, with a special thank you to Alix.",,,,
3275888,50000477,Just the right place to land after a long flight from Australia.,,,,
3275888,50000478,Highly recommended.,,,,
,,,,,,
3256074,50000480,daughters 21st ---SEP---,,80000410,Dear Nikki F Thank you so much for taking your time to write a 5* review after your recent stay at the Shankly hotel.,
3256074,50000481,Thursday 26 may we had family and friends to celebrate my daughters 21st in the eden room,80000411,80000411,I'm so pleased you chose to stay with us and celebrate your daughters 21st birthday.,
3256074,50000482,"6.30pm till 10pm, we were greeted by joe caz who looked after us all he was very professional.",80000412,80000412,"We strive to deliver first class customer service to all our guests, so well done to Joe,Sophie and Chrystal for going above and beyond t make your time spent with us more memorable.",
3256074,50000483,the 2 girls serving behind the bar Sophie and Chrystal were fantastic also.,80000412,80000413,We look forward to seeing you again soon.,
3256074,50000484,The great staff you have made our celebration the best we could of had.,80000412,80000414,Warmest wishes Emma Parry ema@shanklyhotel.com,
3256074,50000485,will definitely be back to the shankly.,80000413,,,
3256074,50000486,"my daughter and friends stayed in the themed room wardrobe sleeps 8,another 3 rooms in the hotel were booked by family which were amazing.",,,,
3256074,50000487,breakfast is best ever.,,,,
3256074,50000488,fantastic hotel thank you,,,,
,,,,,,
3314622,50000490,Easy access ---SEP--- Easy to get to and convenient to shopping and eating.,,80000420,Thank you for sharing your recent stay with us on TripAdvisor!,
3314622,50000491,Front desk staff was very friendly and courteous.,80000421; 80000422,80000421,We are so happy to hear you enjoyed your time here and that the staff took great care of you.,
3314622,50000492,"Rooms were clean the first day as you would expect but the second day, not so much.",,80000422,We take great pride in our friendly staff and the cleanliness of our hotel.,
3314622,50000493,We told the front desk and subsequent days were much better.,80000421; 80000422,80000423,Please come back and see us again soon.,
3314622,50000494,The pool area was well maintained except for the hot tub which wasn’t working for the three days we were there.,,80000424,Have a Great Day!,
3314622,50000495,I hope they got it fixed by now.,,80000425,Sydney Fyke,
3314622,50000496,I always enjoy it after a day of driving.,,,,
3314622,50000497,"The breakfast, well the breakfast was very minimal at best.",,,,
3314622,50000498,It was fresh and edible but that is about it.,,,,
3314622,50000499,It seems to me they need to focus on the small details.,,,,
3314622,50000500,Overall we were satisfied and would stay here again,,,,
,,,,,,
3262437,50000510,Beyound Expectations ---SEP---,80000432,80000430,Hello Gus,
3262437,50000511,Marty's is great find.,,80000431,Our sincere appreciation for your great review.,
3262437,50000512,Perched between two beaches that are only 4 minutes walk maximum on flat pathway.,80000434,80000432,It is very rewarding when we exceed guest expectations !,
3262437,50000513,Nelsons Bay shopping centre a three minute drive or 15 min walk.,80000434,80000433,We do agree .....,
3262437,50000514,On the way you will pass the Diggers club where the meals were excellent for the price.,,80000434,our location is superb and we do take pride ion the cleanliness of our apartments.,
3262437,50000515,The rooms are spacious without being enormous.,,80000435,We would love to welcome you and your family back to stay with us again when next visiting the stunning Port Stephens area.,
3262437,50000516,We had a two bedroom with kitchenette with two adults and 3 kids and never felt short of space.,,,,
3262437,50000517,The pool is heated and very pleasant after a day out Thoroughly recommend,,,,
,,,,,,
3238614,50000520,Loved the quiet ---SEP---,,80000440,Thank you Elaine for taking the time to review your stay with us at Eagle's Nest Condo Resort.,
3238614,50000521,A bit of a drive if you're planning to do much in Branson itself.,,80000441,We are glad to learn that you had a wonderful time and hope you will visit us again soon!,
3238614,50000522,"As Michigan natives, we aren't used to the winding roads and hills of the Ozarks.",,,,
3238614,50000523,Glad we had our brakes taken care of before we went on this trip!,,,,
3238614,50000524,But the view from the balcony was wonderful.,,,,
3238614,50000525,The kitchen and laundry area were compact but had everything necessary so we could fix breakfast and lunch and even have some friends over.,,,,
,,,,,,
3326975,50000530,Large rooms and good breakfast ---SEP---,,80000450,Thanks for the great review and feedback.,
3326975,50000531,We had two rooms that they conveniently put next to each other.,,80000451,We are so happy to hear you had a great stay and look forward to welcoming you back in the future.,
3326975,50000532,"Very large rooms, clean and comfortable.",,,,
3326975,50000533,Large bathrooms which were very clean with large walk in showers.,,,,
3326975,50000534,This is a newer hotel so everything was in great condition.,,,,
3326975,50000535,"Complimentary breakfast buffet had a decent amount of choices of cold and hotel food, 2 waffle machines and fresh cut up fruit.",,,,
3326975,50000536,Friendly and helpful staff when I called to get a last minute reservation as it was almost full.,,,,
3326975,50000537,I would definitely recommend this hotel and would stay there again.,,,,
,,,,,,
3295796,50000540,Dated Room - Service was Spotty ---SEP---,,80000460,"Dear PaulusHookJC, Thank you for taking the time to review your stay at Hilton Glasgow.",
3295796,50000541,Positives: - Women at front desk were expedient and friendly.,80000461,80000461,"While I am happy to hear your feedback on the friendly service from our front desk team, nice view from your room and delicious scallop starter, I am sorry to read there were some areas mentioned in your review that prevented you from having an overall positive experience with us.",
3295796,50000542,-,,80000462,"As with all Tripadvisor reviews your comments have been shared with our team, in particular, our Food and Beverage Manager.",
3295796,50000543,My room was on the 15th floor and had a nice view.,80000461,80000463,Your feedback will be included as part of our on-going review of products and services we offer our guests.,
3295796,50000544,-,,80000464,All forms of feedback are invaluable in ensuring we maintain our high level of service and standards and I do hope that we will have the opportunity to welcome you back to the hotel in the near future.,
3295796,50000545,My scallop starter at dinner was very delicious.,80000461,80000465,"Kind Regards, Lisa",
3295796,50000546,-Good water pressure and large towels in shower.,,,,
3295796,50000547,- Taxis were always available out front.,,,,
3295796,50000548,Negatives: - Room was not updated and felt like an old Holiday Inn.,V80000461,,,
3295796,50000549,Looked nothing like website photos.,,,,
3295796,50000550,-,,,,
3295796,50000551,The wifi situation SUCKS.,V80000461,,,
3295796,50000552,"There is ""free"" temporary wifi in rooms but I couldn't get a signal.",,,,
3295796,50000553,I tried to pay repeatedly for the actual wifi and was unable.,,,,
3295796,50000554,A 5-star hotel must include superior wifi service in all rooms.,,,,
3295796,50000555,-,,,,
3295796,50000556,The coffee bar took three people and 15 minutes to make a latte and topped it with cocoa powder?,V80000461,,,
3295796,50000557,-,,,,
3295796,50000558,"While my starter and the bread/butter at dinner were very good, the service was terrible (he'd disappear for ages) and the Salmon main was undercooked and bland.",V80000461,,,
3295796,50000559,I don't even remember dessert.,,,,
3295796,50000560,And expensive!,,,,
3295796,50000561,- Room service pizza was a fluffy mess.,V80000461,,,
3295796,50000562,"- I felt, even at $175/night that I overpaid.",,,,
,,,,,,
3204632,50000570,Attention to detail and genuine hospitality ---SEP---,,80000470,Wow!,
3204632,50000571,"Prior to arrival, the owner Chris emailled to check about how we would like the rooms configured and as to dietary requirements etc which was a great start.",,80000471,Thank you for this review!,
3204632,50000572,On arrival we were warmly welcomed to a lovely little seperate apartment surrounded by fragrant gardens and in a quiet area of Cambridge.,,,,
3204632,50000573,"We appreciated the attention to detail, from the plethora of soft towels in the bathroom, to the wide variety of fresh condiments, to the detailed visitor booklet with information on absolutely everything in the area.",,,,
3204632,50000574,"There is a fan and heater to use if required as it has no air con, and a lovely outdoor spa in a private location.",,,,
3204632,50000575,"Beds were comfortable; large shower room, flat screen tv and plunger coffee.",,,,
3204632,50000576,"Breakfast was freshly baked delicious muffins which were a big hit with everyone (thank you Chris!), a generous supply of bread for toast as well as yoghurt and cereal choices.",,,,
3204632,50000577,Muffins b&b is obviously run by someone who loves what she does and it really shows.,,,,
3204632,50000578,We are international visitors but if back in the area we would not consider staying anywhere else.,,,,
,,,,,,
3290679,50000580,Mr ---SEP--- Best to none had a fabulous time at the hotel and the staffs were amazing looked me after all my needs I’ll definitely be back ⭐️ ⭐️ ⭐️ ⭐️ ⭐️,,80000480,"Dear Matthew, Thank you for sharing your feedback from your recent stay with us.",
3290679,50000581,Where you book and and get there ask for Barbara or Katrina or matthew they will definitely look after you .,,80000481,It is much appreciated.,
3290679,,,,80000482,"On behalf of the whole team, I am looking forward to welcome you back very soon.",
3290679,,,,80000483,"Kind regards, Katarina Vujcikova Guest Relations Manager",
,,,,,,
3261453,50000590,Back after 18 months and still as delightful ---SEP---,80000490,80000490,"Hi 828michelle, Thank you so much for your lovely words and we are happy to hear that you had another wonderful memories returned back to Queenstown.",
3261453,50000591,We recently visited Queenstown and didn't hesitate to return to this lovely little boutique hotel.,80000490,80000491,"I have to agree with you, Botanic Garden and the Lake side are just stroll from our boutique hotel.",
3261453,50000592,Great location with just a stroll to the Lake Front via Botanic Gardens.,80000491,80000492,"On behalf of all the Ladies & Gentlemen here, we certainly hope that we will see you again in the future.",
3261453,50000593,Very friendly and helpful welcome.,,80000493,"Cheers, Anderson",
3261453,50000594,"Super room - large - gorgeous comfy bed, lovely bathroom with big relaxing spa bath, lovely chairs and foot rests where you can relax with a wine and watch the gondola.....",,,,
3261453,50000595,This place is just perfect for us and we will not hesitate to return...again...when next in Queenstown,80000492,,,
,,,,,,
3189147,50000600,Amazing stay in a Victorian style Hotel ---SEP---,,80000500,Thank you for your time to share your experience with Best Western Plus Dorchester Hotel!,
3189147,50000601,"We stayed for a weekend with my boyfriend at this hotel and were nicely surprised, how well renovated it was and how tidy and comfortable was the room.",80000502,80000501,"We strive to serve all our guests with full care, and I'm glad to hear that you've enjoyed staying at our hotel.",
3189147,50000602,The hotel did a great job at renovating the place and decorating it still keeping it in Victorian style.,,80000502,"We try to maintain our building as convenient as possible for all our guests,we also have outside patio on the 3rd floor for guests to enjoy summer breeze in Nanaimo.",
3189147,50000603,We really enjoyed our stay there and will be definitely back soon again!,80000503,80000503,Hope both of you enjoy best summer ahead and will be looking forward to welcoming you again on your next visit to Nanaimo.,
3189147,,,,80000504,"Sincerely, Julie Park General Manager Best Western Plus Dorchester Hotel",
,,,,,,
3283926,50000610,Bonanza in Bendigo ---SEP---,,80000510,"Hello Graham A, Thank you for your great feedback.",
3283926,50000611,Much more than just a motel overnighter.,,80000511,I am so pleased that you enjoyed your stay with us and the apartment met your expectations.,
3283926,50000612,Spacious facilities quality fittings and kitchen as well.,80000511,80000512,We look forward to having you stay with us again soon.,
3283926,50000613,Would suit multiple stay or even the one night.,,,,
3283926,50000614,Just like home!,,,,
3283926,50000615,"Plenty of parking, quiet location even on the main road.",,,,
,,,,,,
3256745,50000620,"Great Hotel, ideal location ---SEP--- Stayed for 10 days Feb-Mar 17, loved this hotel.",,80000520,Many thanks for your feedback.,
3256745,50000621,"Arrived late at night 10pm, was meet by Ellie who showed us the key safe for our room.",,80000521,We look forward to seeing them again.,
3256745,50000622,"Great location to beach, used the beach chairs & towels provided.",,,,
3256745,50000623,"The room was prefect for us, spotless on arrival, the kitchen enables you to make a light breakfast or lunch, great coffee machine.",,,,
3256745,50000624,"We always had hot water in the shower, just let it run for a couple of minutes.",,,,
3256745,50000625,"Spent a lot of time on the beach at Lauderdale by the Sea, about 8 miles away.",,,,
3256745,50000626,"Didn't hire a car but used the Sun Trolley ($1), Galt Link (free from Galleria Mall) and city bus no. 11 ($2).",,,,
3256745,50000627,"The room was serviced each time we left the sign on the doors, usually clean towels, bins emptied etc.",,,,
3256745,50000628,"Ellie, Kim & Chris were all really helpful and there is always some-one around from 9am - 5pm or a phone call away.",,,,
3256745,50000629,"Have to mention our favourite bar/restaurant Casablanca's, just at 5 minute walk away, great staff, food and music.",,,,
3256745,50000630,"Yes, there is construction site opposite but there is so much to do in Fort Lauderdale we didn't spend much time by the pool, construction noise cannot be heard in the room (203).",,,,
3256745,50000631,"Kim helped us book the Everglades Air boat Trip, the company picked us up from the hotel and dropped us back, a great day out.",,,,
3256745,50000632,Would definitely go back,80000521,,,
,,,,,,
3314297,50000640,Great hotel and location.,,80000530,"Hi Imwainui, Thanks for the great review!",
3314297,50000641,---SEP---,,80000531,We're glad to hear you enjoyed our famous Rydges Dream Beds!,
3314297,50000642,A very enjoyable hotel to stay in all areas.,,80000532,Nothing like a good nights sleep after a hard days shopping.,
3314297,50000643,All staff very professional and helpful in their designated duties.,,80000533,See you next time in Wellington!,
3314297,50000644,Found the pillows too high the first night so rang reception to request flatter ones which arrived within minutes.,V80000532,80000534,^Alana P,
3314297,50000645,Beds are divinely comfortable.,80000532,,,
3314297,50000646,Breakfast choices are the best I have come across in a NZ hotel.,,,,
3314297,50000647,Many healthy options also if you wish!,,,,
3314297,50000648,Heated pool and spa was great after a days shopping!,,,,
3314297,50000649,Very central location that is within walking distance to many places of interest.,,,,
,,,,,,
3316144,50000650,"Fairly priced ---SEP--- Stayed here while working in Holyhead, bed was very comfortable and room was clean.",80000541,80000540,Thank you for taking the time to write a review.,
3316144,50000651,The bathroom was a good size.,,80000541,We are so pleased to learn that you were happy with the overall experience and found the staff helpful and friendly and your bed comfortable.,
3316144,50000652,The staff were always happy to help and very polite.,80000541,80000542,We strive to give customers an enjoyable stay and we are happy to see that this has been achieved.,
3316144,50000653,Make sure you get there early as parking can be an issue.,,80000543,Feedback such as yours is invaluable and we will ensure the hotel receives a copy of your comments.,
3316144,50000654,Close to the town and a McDonald's round the corner,,80000544,Thank you once again and we look forward to welcoming you back in the future.,
,,,,,,
,,,,,,
3214363,50012250,Great Midtown hotel ---SEP--- Loved our 4 night stay at the Bryant Park Hotel in a Junior Suite.,,80009580,"Hi John, Thank you for taking the time to review us and for remembering those employees that had such a positive impact on your stay.",
3214363,50012251,"First big plus, as the name suggests, is that it’s on Bryant Park which imparts sunlight and space in front of the hotel and gets away from the often claustrophobic nature of high rise streets in NYC (getting a Suite or a park facing room will make the most of the view)",,80009581,I couldn't wait to show John and Ricardo your review.,
3214363,50012252,"First impressions count after an 8 hour flight from the UK and John the doorman was so welcoming, but check-in was perfunctory and disinterested.",80009581,80009582,Ricardo has only been with us for less than a month and has already proven to be an amazing find.,
3214363,50012253,"This negative vibe was then rescued by Ricardo who showed us to our room, and who’s friendly nature set the tone for every other interaction with hotel staff members - all were wonderful with Andrew on the Concierge desk being especially helpful.",80009581,80009583,I am very happy that you left with some wonderful birthday memories.,
3214363,50012254,Our Junior Suite was fantastic.,,80009584,I was surprised to hear about the desk agent and would love to chat more.,
3214363,50012255,"A huge room by NYC hotel standards with minimalist modern decor, high ceilings, big windows and a truly massive bathroom with a deep soaking tub and separate walk in shower (made all the better by knock you over water pressure and Molton Brown toiletries).",,80009585,Email me when you can.,
3214363,50012256,A happy birthday cake and balloon in the room was a nice touch and much appreciated.,80009583,80009586,"All my best, Darren; dsumner@bryantparkhotel.com",
3214363,50012257,We were on the 16th floor and noticed NYC traffic noise the first night but after that it wasn’t an issue.,,,,
3214363,50012258,Hotel lobby is quite small but the new Moroccan themed Celon bar in the basement is great for cocktails and Tapas.,,,,
3214363,50012259,The Koi Sushi restaurant on the premises is also very good - pricey but worth it.,,,,
3214363,50012260,"Both the bar and restaurant get very busy in the evenings with city office workers, especially at weekends, so you need to reserve a table.",,,,
3214363,50012261,"Overall we really rated this hotel and preferred it to the nearby, pricier Archer Hotel that we stayed at on our last visit.",,,,
,,,,,,
3217214,50012270,Great Hotel Despite its Size ---SEP---,,80009590,"Dear Chelsea33, Thank you kindly for sharing your great review.",
3217214,50012271,We stayed here for 2 nights in March for vacation and used our starwood points.,80009591,80009591,I am delighted that you chose to spend March break with us and had a great time.,
3217214,50012272,The hotel is huge but the service was very good.,,80009592,"I hope you did take advantage of our special March break activities and hope to welcome you back this summer - when the construction on Queen's Quay will be done, so that you can truly appreciate Toronto's waterfront.",
3217214,50012273,We requested a room on a high a nice view and got a nice view overlooking the water.,,80009593,"Stay well, Edwin Frizzell General Manager",
3217214,50012274,Very pretty.,,,,
3217214,50012275,Nice location right by the harbor but lots of construction all around.,,,,
3217214,50012276,The pool is very large but very popular.,,,,
3217214,50012277,I would definitely recommend this hotel.,,,,
,,,,,,
3185113,50012280,Wonderful stay!!,,80009600,"Dear Steve and Lori, Thank you for your wonderful review!",
3185113,50012281,---SEP---,,80009601,"We are so pleased that you enjoyed your stay, it was a pleasure to host you both.",
3185113,50012282,From the moment we arrived at this historic boutique hotel we began to relax and brush off the wear and tear of international travel.,,80009602,Thank you for posting your photo's as well we absolutely love them!,
3185113,50012283,The accommodations are top notch and they have thought of everything.,,80009603,"Warm regards, Jade, Jay and Team",
3185113,50012284,The breakfast is wonderful and the canapés and drinks in the early evening are a treat.,,,,
3185113,50012285,All the staff are delightful and helpful with local attractions and dining.,,,,
3185113,50012286,Definitely recommend!,,,,
,,,,,,
3172357,50012290,"Great location and excellent breakfast ---SEP--- Very comfortable room and exceptionally clean, with tea and coffee making facilities and a cheese board and knife, which is a nice touch.",80009611,80009610,Many thanks for your review we are pleased you enjoyed your stay with us.,
3172357,50012291,Milk in the fridge and wine glasses in the room.,,80009611,"We are happy that you found guesthouse clean,comfortable and you enjoyed the breakfast selection and you found our room amenities useful .",
3172357,50012292,The host was very friendly and greeted us on arrival.,,80009612,Glad you found the excellent location of the guesthouse to be in easy walk to the town centre and the jetty.,
3172357,50012293,Great continental breakfast with everything you could want.,,80009613,We truly appreciate our guests taking time out in their busy lives to write a review.,
3172357,50012294,Very close to the jetty and local restaurants.,80009612,80009614,Thanks once again and looking forward to seeing you again.,
3172357,50012295,On site secure parking We will be back.,,80009615,Best wishes Mike and Lorraine,
,,,,,,
3205422,50012300,Our 3 night stay in the Wineport Lodge could not have been better ---SEP---,,80009620,"Dear Stephen31, Thank you for your recent popsting on Trip Advisor.",
3205422,50012301,We had our wedding reception in the Wineport in 2007.,,80009621,We were delighted that you enjoyed our stay with us here at The Wineport Lodge.,
3205422,50012302,We decided to make our long overdue return at the weekend for a 3 night stay.,,80009622,We have passed on your great comments to our colleagues throughout the hotel.,
3205422,50012303,We drove down from Dublin on Friday evening and arrived around 9pm to find we had been upgraded to the same room we stayed in on our wedding night.,,80009623,We do hope to get the opportunity to welcome you back very soon.,
3205422,50012304,It was pure luxury with the most amazing view of the lake.,,80009624,"Warmest Regards, Ray Byrne & Jane English",
3205422,50012305,The service we received over the 3 days was second to none.,80009622,,,
3205422,50012306,They made us feel so special.,,,,
3205422,50012307,We had our dinner in the restaurant on Saturday night - Duck Confit / Indian selection for starters and Fillet steaks for the main course.,,,,
3205422,50012308,The food and the service were both excellent.,80009622,,,
3205422,50012309,The weekend was not cheap (for us) but it was worth every cent.,,,,
3205422,50012310,We both enjoy going on weekends away and we cannot think of a nicer place to stay.,,,,
3205422,50012311,We wont leave it so long the next time.,,,,
,,,,,,
3280329,50012320,"Awesome secluded stay ---SEP--- Perfect oasis, gorgeous drive in and views from the lodge.",,80009630,"Samantha H, we appreciate your review of Red Cliffs Lodge.",
3280329,50012321,"Dinner is great onsite, but pricey.",,80009631,It's great to hear that you enjoyed your visit and we hope to have you stay with us again in the future!,
3280329,50012322,"There is hardly any cell service and the wifi does not work well, but that's ok since you're on vacation.",,80009632,"Best Wishes, R. Graham - Online Rep - Red Cliffs Lodge",
3280329,50012323,The horses are very friendly and you get free cookies!,,,,
,,,,,,
3214460,50012330,Great location ---SEP---,,80009640,Dear Nicol S Thank you for taking the time to leave a review.,
3214460,50012331,"We stayed 1 night for NYE, great location for city centre, (less than 5 mins walk to thermae bath spa and main shopping area) staff very friendly, helpful and obliging.",80009641,80009641,I am so pleased you enjoyed your new years stay with us and that you felt the team looked after you!,
3214460,50012332,Tea coffee selection was good.,,80009642,As you have mentioned with the valet service - it is £30 however it is best to prebook as it gets booked up quick!,
3214460,50012333,"Lovely elemis products in the bathroom, nice big bath and big shower too.",,80009643,We do hope to welcome you back to the hotel again soon Kindest regards Freya Cunningham Assistant Front Office Manager,
3214460,50012334,very comfortable nights sleep!,,,,
3214460,50012335,We were able to use the pool/sauna after check out which was very nice.,,,,
3214460,50012336,"£30 to use the valet parking for 24 hours we were lucky as didn't book this service and only limited spaces available, would use this service again (Charlotte street car park a short walk away, but nice not to have to cart luggage around plus the hotel is a bit more flexible with the time limit)",80009642,,,
,,,,,,
3196559,50012340,Terrific Location and Good Service ---SEP---,,80009650,"Dear YiiYng, Thank you for your loyal custom and for your kind review of The Westbury Hotel on Tripadvisor.",
3196559,50012341,You could not ask for a better located hotel.,,80009651,I am delighted to read that you had a most enjoyable stay on this occasion and that you have chosen to stay with us again and again.,
3196559,50012342,Good service and nice decor.,,80009652,"The Westbury Hotel has a wide range of rooms, executive rooms and suites which are always worth considering simply because of the sheer quality of the interior decoration, the hotel's location and the impeccable service which we provide.",
3196559,50012343,Rooms sometimes vary in standard.,80009652,80009653,"Also keep in mind that through the hotel's loyalty programme, The Global Hotel Alliance, it is sometimes possible to avail of a complimentary upgrade based on your frequency as one of our guests and of course on availability.",
3196559,50012344,They are all good but some are better than others.,80009652,80009654,I look forward to having the pleasure of welcoming you back in the near future.,
3196559,50012345,I like the third floor.,,80009655,Thank you once again.,
3196559,50012346,Great toiletries,,80009656,"Kind regards, Joseph Downing Guest Relations Manager",
,,,,,,
3252497,50012350,Accommodation ---SEP---,,80009660,It is nice to know that our guests are as pleased with our renovated apartments as we are.,
3252497,50012351,We stayed in one of the recently renovated apartments and everything was brand new.,80009660,80009661,"Only a couple have been completed, but another 4 are currently gutted and the refurbishment is well underway.",
3252497,50012352,Our location was excellent.,,80009662,"Once completed, all of the 2 bedroom townhouses will have new kitchens and bathrooms and there will be washer/dryers and dishwashers.",
3252497,50012353,Staff were amazing and friendly.,,80009663,The 4 courtyard 1 bedroom apartments will get a similar treatment.,
3252497,50012354,We were in a very quiet spot.,,80009664,"We have photos that show how amazing they are, but can't post them online until all is completed.",
3252497,50012355,Car park was off the street and safe.,,80009665,Thank you for taking the time to comment.,
3252497,50012356,The location is very close to town.,,,,
3252497,50012357,Walking distance to Hannan Street and all the various cafe's and restaurants.,,,,
3252497,50012358,I would definitely recommend to anyone who is looking at travelling to Kalgoorlie in the future.,,,,
,,,,,,
3229172,50012360,The perfect family holiday ---SEP---,,80009670,Thank you Sarah J for your review!,
